"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Canada","CAN","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","3.5","3.5","3.5","3.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","1.5","1.5","1.5","1.5","1.5","","",
"Central Europe and the Baltics","CEB","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.8636363636364","46.1363636363636","36.5909090909091","33.9545454545455","28.2272727272727","24.5","19.4545454545455","18.9090909090909","19.0909090909091","18.9090909090909","17.9090909090909","16.8181818181818","16.0909090909091","15.7272727272727","15.7272727272727","18","15.9090909090909","","",
"Switzerland","CHE","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","18","18","18","18","18","18","18","18","18","18","10","10","10","10","10","10","","",
"Channel Islands","CHI","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","42","42","40","40","40","40","36.5","9.5","7.5","7.5","7.5","7.5","7.5","7.5","6","4","","",
"China","CHN","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.35","31.35","31.35","28.9","24.9","8.55","8.55","","",
"Cote d'Ivoire","CIV","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62","58","45","45","42","40","40","40","32","32","8","7","7","7","8","6","6","","",
"Cameroon","CMR","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","45","45","45","38","39","36","21","17","17","17","17","17","17","17","14","14","","",
"Congo, Dem. Rep.","COD","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","167","134","134","134","133","133","127","85","66","59","32","17","12","12","7","7","7","","",
"Congo, Rep.","COG","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","38","38","39","39","159","159","159","159","159","99","51","51","51","50","50","50","","",
"Colombia","COL","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","41","41","42","41","35","19","11","11","12","12","12","12","11","11","11","10","","",
"Comoros","COM","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","30","30","22","22","22","22","20","16","16","16","16","16","16","16","","",
"Cabo Verde","CPV","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","52","52","52","24","18","18","18","18","18","18","18","18","18","9","","",
"Costa Rica","CRI","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","90","90","87","90","74","73.5","73.5","73.5","57.5","23","23","23","22.5","22.5","23","23","","",
"Caribbean small states","CSS","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","36.5","90.0909090909091","84.6363636363636","79.5416666666667","79.625","78.125","76.625","71.4230769230769","71.3461538461538","33.5769230769231","23.2692307692308","22.7307692307692","21.0384615384615","20.8846153846154","20.8846153846154","19.6538461538462","","",
"Cuba","CUB","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","8","8","8","8","8","6","6","6","6","","",
"Czech Republic","CZE","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57","57","57","39","32","35","32","32","30.5","30.5","30.5","30.5","30.5","24.5","24.5","24.5","24.5","","",
"Germany","DEU","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","45","22","22","18","17.5","17.5","14.5","14.5","14.5","14.5","14.5","10.5","8","8","8","8","","",
"Djibouti","DJI","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","44","44","37","37","37","37","37","17","14","14","14","14","14","14","","",
"Dominica","DMA","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","14","14","13","13","13","12","12","12","12","12","12","12","12","12","","",
"Denmark","DNK","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.5","7.5","6.5","6.5","6.5","6.5","6.5","6","6","6","6","6","3.5","3.5","3.5","3.5","3.5","","",
"Dominican Republic","DOM","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79","79","76","76","25","15","16","15","14.5","14.5","14.5","14.5","14.5","18.5","16.5","16.5","16.5","","",
"Algeria","DZA","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","24","22","22","22","22","22","22","22","22","22","20","18","18","18","18","18","","",
"East Asia & Pacific (excluding high income)","EAP","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.8235294117647","51","50.4444444444444","49.8333333333333","46.8333333333333","46.6111111111111","45","42","37.9444444444444","39.2105263157895","41.0619047619048","35.8709523809524","35.8385714285714","33.1047619047619","32.2590476190476","30.3595238095238","29.6757142857143","","",
"Early-demographic dividend","EAR","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.9431818181818","61.4666666666667","68.9245283018868","65.1698113207547","59.5092592592593","55.6944444444444","52.8425925925926","50.5277777777778","49.3055555555556","49.3482142857143","38.2599180327869","35.2025409836066","35.6094262295082","35.1177868852459","34.1265573770492","32.268606557377","30.9020491803279","","",
"East Asia & Pacific","EAS","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.9130434782609","42.375","42.5833333333333","45.32","42.4","41.46","39.18","36.22","32.6","33.6923076923077","34.6534482758621","30.8772413793103","27.7158620689655","25.7362068965517","25.0548275862069","23.4034482758621","22.8910344827586","","",
"Europe & Central Asia (excluding high income)","ECA","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.4","44.0333333333333","45.15625","37.3823529411765","32.2647058823529","27.9705882352941","22.8611111111111","21.9166666666667","19.75","18.8055555555556","16.6421052631579","15.6842105263158","13.3315789473684","12.9","12.1631578947368","11.5578947368421","11.3473684210526","","",
"Europe & Central Asia","ECS","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.8536585365854","38.9166666666667","33.953488372093","29.0888888888889","25.0777777777778","21.3152173913043","18.9468085106383","18.0744680851064","16.6170212765957","16.625","15.5040816326531","14.2040816326531","12.2612244897959","11.8795918367347","11.5938775510204","12.552","11.762","","",
"Ecuador","ECU","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","92","69","65","65","65","64","56","55.5","55.5","55.5","55.5","50.5","48.5","48.5","48.5","48.5","","",
"Egypt, Arab Rep.","EGY","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","43","27","24","18","13","13","13","13","13","13","13","17","17","17","12","13","","",
"Euro area","EMU","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.78125","41.65625","30.28125","26.5","22.9705882352941","18.0833333333333","17.1944444444444","16","15.5526315789474","15.1578947368421","14.4210526315789","12.3947368421053","11.4210526315789","10.8947368421053","10.3684210526316","10.4473684210526","9.81578947368421","","",
"Eritrea","ERI","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76","76","76","83","84","84","84","84","84","84","84","84","84","84","84","84","","",
"Spain","ESP","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138","137","70","60","60","61","61","52","29","30","24","14","14","13","13","12.5","12.5","","",
"Estonia","EST","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","72","35","35","6.5","6.5","6.5","6.5","6.5","6.5","6.5","4.5","3.5","3.5","3.5","3.5","3.5","","",
"Ethiopia","ETH","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","35","35","19","19","19","20","20","40","40","39","39","35","35","33","32","32","","",
"European Union","EUU","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.4583333333333","40","30.5833333333333","26.84","23.06","20.0192307692308","17.8269230769231","16.9038461538462","16.6296296296296","16.3703703703704","15.7777777777778","14.3518518518519","13.2407407407407","12.7222222222222","12.3518518518519","13.2777777777778","12.1666666666667","","",
"Fragile and conflict affected situations","FCS","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.5833333333333","64.8333333333333","69.40625","65.1875","60.4375","59.90625","57.1818181818182","50.7575757575758","42.8787878787879","41.8611111111111","37.4405405405405","32.9405405405405","33.1921052631579","33.6557894736842","32.1031578947368","30.9715789473684","30.5323684210526","","",
"Finland","FIN","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","13","","",
"Fiji","FJI","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","31","44","44","44","44","44","44","44","58","58","58","58","40","40","40","40","","",
"France","FRA","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","7","7","7","7","6.5","6.5","6.5","6.5","6.5","6.5","4.5","4","3.5","3.5","3.5","4","","",
"Faroe Islands","FRO","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","","",
"Gabon","GAB","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","54","54","54","54","54","54","54","47","47","47","47","33","31","10","","",
"United Kingdom","GBR","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","12","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","6","4.5","4.5","4.5","4.5","4.5","","",
"Georgia","GEO","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","25","21","16","11","3","3","3","2","2","2","2","2","2","2","2","1","","",
"Ghana","GHA","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","21","17","17","13","11","11","11","11","11","14","14","14","14","14","14","13","","",
"Gibraltar","GIB","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48","40","40","40","40","40","40","40","40","43","23","15","15","15","15","15","15","","",
"Gambia, The","GMB","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","27","32","27","27","27","27","27","27","26","25","25","25","25","8","","",
"Guinea-Bissau","GNB","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","260","261","260","260","217","217","9","9","9","9","9","9","9","9","9","","",
"Equatorial Guinea","GNQ","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155","155","155","155","155","155","150","150","150","150","150","149","33","33","33","","",
"Greece","GRC","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","38","38","38","38","19","19","19","11","11","14","13","13","13","12.5","12.5","4","","",
"Grenada","GRD","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","20","19","19","19","14","14","14","15","15","15","15","15","15","12","","",
"Greenland","GRL","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","41","41","37","36","36","36","36","36","36","26.5","26.5","26.5","26.5","26.5","15","15","","",
"Guam","GUM","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","42","42","37","38","27","23","19","18","18","18","18","18","18","18","18","","",
"High income","HIC","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9523809523809","32.1395348837209","27.7765957446809","26.6224489795918","23.375","20.6037735849057","19.8867924528302","18.8301886792453","16.5636363636364","16.6785714285714","15.9025862068966","14.5991379310345","12.0560344827586","12.0215517241379","11.3405172413793","12.0466101694915","10.8279661016949","","",
"Hong Kong SAR, China","HKG","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","11","11","11","11","6","6","2.5","2.5","2.5","2.5","1.5","1.5","1.5","1.5","1.5","","",
"Honduras","HND","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61","61","69","57","20","20","14","43","43","43","43","43","41","42","42","42","42","","",
"Heavily indebted poor countries (HIPC)","HPC","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.3103448275862","55.9705882352941","59.2162162162162","56.3684210526316","50.6842105263158","50.1315789473684","47.7105263157895","44.1842105263158","33.9210526315789","32.4605263157895","26.8289473684211","23.5394736842105","24.2564102564103","23.6666666666667","23.0641025641026","23.1025641025641","22.6153846153846","","",
