"Data Source","World Development Indicators",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Burkina Faso","BFA","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.35","2.22","2.31","2.65","3.21","3.46","3.69","3.97","3.96","4.36","4.38","",
"Bangladesh","BGD","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.13","0.2","0.35","0.51","0.84","1.29","2.11","3.71","4.04","4.96","5.77","7.09","8.03","8.36","8.92","9.42","10.53","",
"Bulgaria","BGR","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.39","34.45","54.85","67.6","80.01","87.82","90.55","93.86","93.12","93.74","90.48","91.27","94.16","94.67","93.4","94.33","91.36","",
"Bahrain","BHR","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.02","67.66","66.98","69.25","70.22","71.54","70.9","82.01","80.48","112.87","119.46","121.3","138.78","122.95","127.79","126.85","123.58","",
"Bosnia and Herzegovina","BIH","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.76","20.9","28.71","43.24","35.17","38.96","42.19","45.63","48.31","51.92","52.48","53.89","55.84","58.24","58.02","",
"Belarus","BLR","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.86","15.4","18.95","25.67","30.25","33.37","37.92","41.23","46.17","51.18","54.77","55.55","55.29","55.67","53.89","54.96","55.86","",
"Belize","BLZ","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.02","29.41","31.13","32.69","34.11","35.41","37.09","38.59","37.76","40.02","40.44","39.99","39.64","38.51","44.56","39.72","45.82","",
"Bermuda","BMU","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.11","14.26","16.69","19.79","24.19","27.54","31.1","34.3","37.77","39.7","39.66","40.38","42.04","42.31","",
"Brazil","BRA","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105.07","108.58","107.16","109.34","111.84","114.39","118.06","116.31","115.36","118.44","117.93","114.97","112.1","107.87","106.55","102.74","96.56","",
"Barbados","BRB","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.33","31.92","36.63","36.85","36.66","32.47","36.21","36.87","42.7","36.46","23.45","26.3","26.17","28.98","28.01","",
"Brunei Darussalam","BRN","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.96","43.26","46.57","58.89","71.52","82.33","82.02","80.77","92.69","82.86","81.75","79.69","76.36","69.59","74.5","73.96","","",
"Bhutan","BTN","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.49","0.47","0.46","2.26","3.32","4.33","8.9","14.91","8.29","21.15","23.77","28.76","34.83","39.45","43.93","48.09","","",
"Botswana","BWA","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.62","16.72","19.81","33.17","29.95","28.6","30.26","27.96","27.56","29.05","30.32","33.98","33.76","35.42","44.51","45.02","47","",
